amount,hour,attempts,fraud
106.1,2,2,0
182.77,10,1,0
372.55,3,1,1
39.13,7,2,0
295.72,8,2,0
74.11,9,2,0
174.48,13,1,0
54.7,22,3,0
132.25,1,2,0
27.38,11,2,0
16.97,2,3,0
167.83,9,1,0
89.35,19,2,0
148.88,20,1,0
13.58,23,2,0
122.89,17,2,0
202.99,10,1,0
53.07,16,2,0
80.35,19,2,0
41.07,7,3,0
46.36,16,1,0
90.92,9,1,0
125.81,18,3,0
71.31,20,3,0
33.42,10,2,0
59.33,17,2,0
77.63,22,1,0
113.38,11,1,0
147.89,2,1,1
67.72,4,1,0
64.37,6,1,0
196.63,7,2,0
165.01,15,4,0
135.44,18,1,0
104.01,5,2,0
114.78,21,1,0
106.52,20,1,0
219.41,0,3,1
109.63,19,1,0
81.5,11,2,0
79.22,18,2,0
49.66,5,2,0
33.04,21,1,0
266.6,12,2,0
200.48,15,3,0
91.27,3,2,0
110.92,4,1,0
21.85,12,1,0
20.89,7,1,0
55.39,1,1,0
91.47,0,2,0
107.46,13,1,0
20.34,9,4,0
42.56,15,1,0
39.56,15,1,0
75.19,20,2,0
31.41,16,2,0
43.63,19,3,0
26.58,17,4,0
119.38,12,1,0
79.55,6,2,0
39.03,17,3,0
140.85,22,3,0
53.44,4,2,0
99.75,13,3,0
124.55,19,1,0
194.13,4,2,1
21.71,23,2,0
126.97,22,2,0
70.34,11,1,0
22.48,16,1,0
59.53,16,4,0
19.97,16,2,0
115.81,7,1,0
80.8,14,1,0
84.39,2,1,0
56.07,0,1,0
58.07,20,1,0
77.38,13,1,0
38.64,14,2,0
91.83,17,2,0
149.81,15,3,0
130.89,15,2,0
126.03,8,2,0
21.77,5,4,0
54.16,3,2,0
63.27,11,2,0
155.47,21,2,0
87.06,17,2,0
24.33,8,2,0
64.66,21,1,0
300.04,12,1,0
146.94,5,3,0
27.36,8,4,0
57.28,13,4,0
54.13,15,2,0
290.09,1,2,1
58.18,2,2,0
87.58,4,2,0
15.55,2,1,0
61.12,9,1,0
31.94,22,2,0
52.81,0,1,0
